# time,theta,x,omega,v
1.769769769769769852e+01,2.314488638301599011e+01,-8.782783824796895622e-02,5.809822679068344797e+01,2.352531860506492212e+00
1.773773773773773854e+01,2.538739274602082219e+01,1.749006358498986224e-02,5.386023489004993792e+01,2.901303918627466949e+00
1.777777777777777857e+01,2.745425966416065933e+01,1.440612952362936849e-01,4.931973143067850884e+01,3.416491174820580845e+00
1.781781781781781859e+01,2.933593247165061513e+01,2.905649937613598577e-01,4.462727572185549008e+01,3.897880726581191890e+00
1.785785785785785862e+01,3.102846232932676074e+01,4.557067213375216586e-01,3.991524440758699654e+01,4.346507427538359281e+00
1.789789789789789864e+01,3.253350622464618169e+01,6.382184652640289224e-01,3.529783146659892878e+01,4.764653887454844750e+00
1.793793793793793867e+01,3.385660977582181630e+01,8.369011763116599445e-01,3.086342829994142889e+01,5.155066754035011911e+00
1.797797797797797870e+01,3.500623653075435726e+01,1.050704535431305597e+00,2.665836246732421344e+01,5.520048165490690550e+00
1.801801801801801872e+01,3.599336999159981332e+01,1.278665839227496770e+00,2.271333821971237299e+01,5.862281499590765499e+00
1.805805805805805875e+01,3.682902642070141752e+01,1.519918311087019802e+00,1.904898145117739716e+01,6.184305868688136698e+00
1.809809809809809877e+01,3.752424590140027760e+01,1.773691223599153544e+00,1.567582851553233958e+01,6.488513098372884258e+00
1.813813813813813880e+01,3.809009233803539729e+01,2.039309898555668354e+00,1.259432622633188004e+01,6.777147727472270233e+00
1.817817817817817883e+01,3.853765345594366920e+01,2.316195706950824995e+00,9.794831856872276532e+00,7.052307008050736847e+00
